cgpa,tenth_percentage,twelfth_percentage,backlogs,study_hours_per_day,attendance_percentage,projects_completed,internships_completed,coding_skill_rating,communication_skill_rating,aptitude_skill_rating,hackathons_participated,certifications_count,sleep_hours,stress_level,Marketability,External,Potential,gender_Female,gender_Male,branch_CE,branch_CSE,branch_ECE,branch_IT,branch_ME,part_time_job,internet_access,family_income_level,extracurricular_involvement,city_tier,placement_status
9.15,83.6,91.7,1.0,2.2,77.1,6.0,4.0,4.0,3.0,5.0,3.0,6.0,6.8,1.0,7.66,3.6000000000000005,2.5,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,1
9.19,80.4,74.4,0.0,0.7,62.4,6.0,2.0,4.0,4.0,5.0,4.0,5.0,5.9,9.0,7.076,4.2,5.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,0.0,2.0,1.0,0
10.0,87.4,96.2,0.0,5.2,73.7,6.0,4.0,4.0,4.0,5.0,3.0,0.0,7.6,8.0,8.0,2.4000000000000004,5.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,1.0,1.0,1.0,0.0,0.0,1
8.34,77.1,68.8,0.0,1.5,54.2,5.0,2.0,5.0,3.0,4.0,5.0,3.0,6.2,4.0,6.936,4.6,4.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,1.0,1.0,2.0,2.0,1.0,1
9.94,86.5,88.4,0.0,4.9,67.1,5.0,2.0,2.0,1.0,5.0,2.0,4.0,6.6,3.0,6.3759999999999994,2.4000000000000004,5.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,1.0,1.0,2.0,2.0,2.0,1
7.69,79.4,65.7,0.0,3.4,59.4,8.0,2.0,5.0,2.0,4.0,6.0,0.0,7.3,7.0,7.276,4.800000000000001,4.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,1.0,2.0,2.0,1
5.88,56.3,50.0,0.0,1.2,66.1,7.0,0.0,5.0,3.0,3.0,5.0,3.0,6.1,8.0,5.752000000000001,4.6,3.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,2.0,1.0,1.0,1
7.26,61.1,58.6,1.0,0.0,62.6,7.0,2.0,5.0,4.0,4.0,3.0,4.0,6.7,10.0,6.904,3.2,2.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,2.0,0.0,1.0,1
7.36,61.4,68.1,1.0,4.0,69.5,3.0,0.0,2.0,2.0,4.0,3.0,2.0,5.8,10.0,4.344000000000001,2.8000000000000003,2.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,1.0,0.0,1.0,0
8.72,72.6,79.5,0.0,5.9,83.1,6.0,2.0,3.0,3.0,4.0,4.0,4.0,9.0,7.0,6.488,4.0,4.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,1.0,2.0,1
7.22,67.7,66.0,1.0,3.1,73.8,4.0,2.0,2.0,3.0,4.0,4.0,2.0,6.8,2.0,5.087999999999999,3.6,2.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,1.0,1.0,1.0,0
8.64,72.7,79.7,0.0,4.8,67.5,7.0,3.0,5.0,5.0,4.0,6.0,4.0,8.0,6.0,7.756,5.6000000000000005,4.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,1.0,1.0,1.0,1
9.28,89.5,75.4,0.0,3.9,79.1,6.0,3.0,4.0,1.0,5.0,3.0,2.0,4.8,3.0,7.412,2.8000000000000003,5.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,1.0,1.0,1.0,1
7.59,73.3,72.5,1.0,4.6,66.5,8.0,1.0,5.0,1.0,5.0,5.0,5.0,5.7,7.0,6.936,5.0,2.5,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,1.0,2.0,1
7.73,74.1,68.6,1.0,0.0,58.2,5.0,1.0,3.0,1.0,4.0,4.0,3.0,6.2,8.0,5.5920000000000005,3.8000000000000003,2.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,1
9.6,80.8,93.8,0.0,5.7,82.9,6.0,3.0,5.0,2.0,4.0,5.0,6.0,8.7,1.0,7.94,5.2,4.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,1
8.5,74.7,74.8,1.0,3.8,73.4,2.0,2.0,1.0,3.0,5.0,1.0,3.0,5.7,6.0,4.800000000000001,1.4000000000000001,2.5,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,1.0,2.0,0.0,1
9.95,82.4,96.2,0.0,2.8,66.0,4.0,4.0,3.0,3.0,5.0,4.0,2.0,7.9,4.0,7.18,3.6,5.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,2.0,2.0,2.0,1
10.0,87.6,90.5,0.0,7.3,85.1,5.0,4.0,3.0,1.0,5.0,2.0,1.0,5.6,10.0,7.4,1.8,5.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,1.0,1.0,2.0,1.0,1
